"vehicle_type","towing_and_articulation","vehicle_manoeuvre","vehicle_location.restricted_lane","junction_location","skidding_and_overturning","hit_object_in_carriageway","vehicle_leaving_carriageway","hit_object_off_carriageway","X1st_point_of_impact","was_vehicle_left_hand_drive.","journey_purpose_of_driver","sex_of_driver","age_of_driver","age_band_of_driver","engine_capacity_.cc.","propulsion_code","age_of_vehicle","driver_home_area_type","number_of_vehicles","day_of_week","time","X1st_road_class","road_type","speed_limit","junction_detail","junction_control","X2nd_road_class","pedestrian_crossing.human_control","pedestrian_crossing.physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","pedestrian_location","pedestrian_movement","fatal"
9,0,18,0,8,0,0,0,0,3,1,6,1,45,7,1794,1,11,1,2,2,"12:56:00",5,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,9,0,8,0,0,0,0,4,1,6,2,25,5,1582,2,1,NA,2,7,"15:55:00",3,3,40,6,2,5,0,5,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,6,1,51,8,NA,NA,NA,1,2,7,"15:55:00",3,3,40,6,2,5,0,5,1,1,1,0,0,1,"0","0",0
20,0,4,0,0,0,0,0,0,1,1,1,1,50,8,4462,2,1,1,1,4,"10:15:00",3,6,30,0,NA,NA,0,4,1,1,1,0,0,1,"1","1",0
9,0,15,0,1,0,0,0,0,4,1,6,1,27,6,1598,2,NA,1,2,6,"08:03:00",5,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
1,0,9,0,5,0,0,0,0,1,1,6,1,46,8,NA,NA,NA,1,2,6,"08:03:00",5,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
3,0,4,0,2,0,0,0,0,1,1,1,2,27,6,50,1,8,1,2,5,"20:35:00",3,3,40,6,2,5,0,5,7,1,1,0,0,1,"0","0",0
9,0,4,0,2,0,0,0,0,2,1,1,1,33,6,1995,2,10,1,2,5,"20:35:00",3,3,40,6,2,5,0,5,7,1,1,0,0,1,"NA","NA",0
9,0,14,0,1,0,0,0,0,4,1,6,1,24,5,1398,1,1,1,1,5,"17:15:00",4,3,30,3,2,6,0,5,1,1,1,0,0,1,"1","2",0
9,0,4,0,0,0,0,0,0,1,1,6,1,25,5,1686,2,8,1,2,5,"21:10:00",3,3,30,0,NA,NA,0,4,4,1,1,0,0,1,"0","0",0
8,0,4,0,0,0,0,0,0,2,1,1,1,43,7,1997,2,6,1,2,5,"21:10:00",3,3,30,0,NA,NA,0,4,4,1,1,0,0,1,"NA","NA",0
1,0,18,0,1,0,0,0,0,3,1,6,1,29,6,NA,NA,NA,1,2,4,"22:32:00",4,3,30,6,2,3,0,5,4,1,1,0,0,1,"0","0",0
9,0,18,0,1,0,0,0,0,1,1,6,2,43,7,1149,1,5,1,2,4,"22:32:00",4,3,30,6,2,3,0,5,4,1,1,0,0,1,"NA","NA",0
9,0,5,0,8,0,0,0,0,1,1,3,2,41,7,2967,2,1,1,5,4,"08:30:00",3,6,30,6,4,5,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,2,2,23,5,999,1,1,1,5,4,"08:30:00",3,6,30,6,4,5,0,0,1,1,1,0,0,1,"0","0",0
9,0,2,0,1,0,0,0,0,3,1,6,2,51,8,1199,1,16,1,5,4,"08:30:00",3,6,30,6,4,5,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,2,0,1,0,0,0,0,1,1,3,1,45,7,1796,1,12,1,5,4,"08:30:00",3,6,30,6,4,5,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,2,0,1,0,0,0,0,1,1,6,1,51,8,1798,1,8,1,5,4,"08:30:00",3,6,30,6,4,5,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,5,0,8,0,0,0,0,1,1,6,2,55,8,4000,1,8,1,2,2,"15:33:00",3,6,30,6,4,6,0,0,1,2,2,0,0,1,"NA","NA",0
1,0,18,0,8,0,0,0,0,3,1,4,1,15,3,NA,NA,NA,NA,2,2,"15:33:00",3,6,30,6,4,6,0,0,1,2,2,0,0,1,"0","0",0
9,0,4,0,0,0,0,0,0,1,1,6,2,37,7,1598,2,3,NA,2,4,"14:07:00",3,3,40,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,4,0,0,0,0,0,0,2,1,6,1,26,6,1197,1,1,1,2,4,"14:07:00",3,3,40,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,4,0,0,0,0,0,0,2,1,6,1,26,6,1197,1,1,1,2,4,"14:07:00",3,3,40,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,4,0,0,0,0,0,0,2,1,6,1,26,6,1197,1,1,1,2,4,"14:07:00",3,3,40,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,8,0,0,0,0,1,1,6,1,40,7,2995,1,5,1,2,7,"11:30:00",4,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,9,0,8,0,0,0,0,3,1,6,2,48,8,1242,1,8,1,2,7,"11:30:00",4,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,8,0,0,0,0,3,1,2,2,47,8,1896,2,7,NA,1,5,"17:05:00",3,6,30,3,4,6,0,4,1,1,1,0,0,1,"4","3",0
9,0,9,0,8,0,0,0,0,1,1,6,1,37,7,NA,NA,NA,1,2,4,"13:45:00",6,6,20,6,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,3,1,6,1,41,7,1896,2,7,1,2,4,"13:45:00",6,6,20,6,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,16,0,0,1,0,7,10,3,1,6,1,32,6,1396,1,11,1,1,1,"07:10:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,0,0,0,0,0,1,1,6,3,NA,NA,1686,2,10,NA,2,4,"16:53:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,3,0,0,0,0,0,0,2,1,6,1,33,6,NA,NA,NA,1,2,4,"16:53:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,3,0,0,0,0,0,0,2,1,6,1,33,6,NA,NA,NA,1,2,4,"16:53:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,1,0,0,0,0,1,1,6,1,15,3,1242,1,8,1,2,7,"15:25:00",3,3,40,6,2,5,0,5,1,1,1,0,0,1,"NA","NA",0
9,0,9,0,1,0,0,0,0,2,1,6,2,31,6,1198,1,1,1,2,7,"15:25:00",3,3,40,6,2,5,0,5,1,1,1,0,0,1,"0","0",0
11,0,18,0,0,0,0,0,0,4,1,1,3,NA,NA,NA,NA,NA,NA,1,6,"15:30:00",5,3,30,0,NA,NA,0,0,1,1,1,0,0,1,"6","9",0
9,0,18,0,8,0,0,0,0,1,1,6,1,30,6,NA,NA,NA,NA,2,7,"10:50:00",3,3,30,1,4,4,0,0,1,1,1,0,0,1,"NA","NA",0
1,0,18,0,8,0,0,0,0,2,1,6,2,33,6,NA,NA,NA,1,2,7,"10:50:00",3,3,30,1,4,4,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,8,0,0,0,0,1,1,6,1,27,6,1997,2,7,1,2,1,"15:48:00",6,6,20,6,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,6,2,33,6,1390,1,3,1,2,1,"15:48:00",6,6,20,6,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,0,1,0,0,0,1,1,6,1,26,6,1396,1,12,NA,3,1,"18:40:00",3,3,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
